Nome,"(letra digitada, letra esperada, quantidade de vezes)", ,,
aninha,"G,R,1","N,M,1","E,R,1","A,M,2"," ,R,1","L,A,1"
hanna," ,L,1"," ,A,1"," ,B,1"," ,O,1"
maria,"H,O,1","H,E,1","E,R,1","L,B,1","O,R,1","A,O,2","L,E,1","H,B,1","O,L,1","D,A,1","O,T,2","L,F,1","S,R,1","-,R,1","E,B,1","L,R,1","R,A,1","N,O,1","C,O,1","R,X,1","E,A,1"
flavio,"D,B,1"
